label,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X)
1,0,2,14,31,31,19,4
2,1,12,23,26,21,13,4
2,2,21,36,26,11,4,1
2,1,10,31,34,18,6,1
3,0,3,20,33,27,14,2
3,1,5,24,36,23,9,1
2,1,4,29,42,18,5,1
3,0,6,24,35,24,10,1
3,1,11,22,25,21,15,5
3,0,3,19,40,28,9,1
3,0,4,20,35,27,11,2
2,1,8,30,36,18,6,1
1,0,2,10,19,19,23,26
3,0,5,20,34,27,12,2
1,0,2,11,30,33,21,4
2,2,19,39,28,10,3,0
3,1,6,25,34,23,10,1
2,0,7,27,34,22,9,1
1,0,3,13,29,32,19,4
2,1,13,32,31,16,6,1
2,0,6,26,36,22,8,1
1,0,2,12,27,30,22,7
1,0,2,10,25,35,23,4
1,0,1,9,26,37,23,3
3,1,10,23,29,24,11,2
3,1,8,24,33,23,10,1
2,6,26,32,22,10,3,0
1,0,3,16,26,24,19,12
3,0,4,20,35,26,12,2
3,0,3,25,39,24,9,1
1,0,2,10,30,34,20,4
2,1,14,32,30,17,6,1
3,0,2,16,38,29,12,2
2,0,9,26,32,21,9,1
3,0,2,16,37,31,13,2
2,0,6,33,38,17,5,1
2,1,10,31,34,18,7,1
1,0,4,16,29,29,18,4
3,0,2,14,32,33,16,2
3,0,4,22,37,26,10,1
2,0,8,34,35,17,5,1
3,0,4,19,33,27,14,3
1,1,4,17,28,26,18,6
2,1,9,28,34,20,8,1
2,1,7,26,36,21,8,1
3,0,5,25,37,22,9,2
3,0,5,26,35,24,9,1
1,0,2,9,25,33,24,6
2,0,7,28,34,21,8,1
2,0,8,36,33,17,6,1
2,0,4,27,38,22,7,1
3,0,6,17,33,29,13,2
2,0,6,28,36,21,8,1
2,0,6,27,34,21,10,2
3,0,5,21,32,25,14,3
3,0,2,16,37,30,13,2
2,1,13,38,32,13,3,0
3,0,5,22,35,25,11,1
2,0,6,28,39,20,6,1
3,0,2,14,35,35,13,1
3,0,3,20,40,28,8,1
3,0,6,22,35,24,11,2
3,0,6,23,33,23,12,3
3,0,4,25,41,22,7,1
1,0,2,12,28,32,21,5
2,1,12,30,32,18,6,1
3,0,3,27,38,23,7,1
2,2,16,34,29,14,4,1
3,0,3,22,38,25,10,2
2,0,7,30,38,19,5,1
3,0,6,23,35,26,10,1
1,0,1,9,27,36,23,4
2,1,10,28,32,19,8,2
2,0,5,30,38,21,6,1
3,0,8,21,31,26,12,2
3,0,5,21,33,27,12,2
3,0,4,22,41,24,7,1
3,0,6,23,35,24,11,2
3,0,3,19,39,29,10,1
2,0,9,37,34,13,5,1
3,0,6,24,35,24,9,1
3,0,2,16,31,31,17,3
1,0,1,5,22,33,28,10
1,0,1,12,28,28,21,9
3,0,5,25,41,22,6,1
3,0,3,14,33,33,15,2
3,0,2,17,38,29,12,1
1,0,2,13,27,29,21,7
3,1,6,25,36,23,9,1
1,0,0,4,25,44,23,4
3,0,2,18,36,27,15,3
3,1,5,24,35,25,9,1
3,1,6,20,27,28,16,3
3,0,7,24,35,24,9,1
3,0,3,13,35,34,14,2
2,1,8,27,27,17,13,7
2,0,7,31,38,18,4,0
1,0,4,16,26,25,20,8
1,0,2,11,32,37,17,2
3,0,2,17,41,28,10,2
3,0,3,18,39,27,10,2
3,0,4,22,37,27,9,1
2,0,5,27,38,21,7,1
1,0,4,14,22,22,23,15
3,0,6,24,36,23,9,2
3,0,3,26,41,23,6,1
3,0,2,18,39,28,10,2
3,2,6,19,29,24,15,4
3,0,4,22,32,26,13,2
1,0,2,15,24,22,25,13
3,0,1,11,36,36,14,1
2,0,7,26,32,21,11,2
2,0,5,30,38,20,6,1
3,0,2,14,42,31,10,1
2,1,8,26,33,19,10,2
3,0,5,20,33,27,13,2
1,0,0,4,17,28,35,15
3,1,5,17,31,29,15,3
3,0,4,22,39,25,8,1
1,0,1,9,29,34,22,5
2,3,17,31,29,15,4,0
3,0,2,16,39,29,12,2
3,0,3,24,38,25,9,1
3,0,2,16,39,29,12,1
3,0,4,20,34,27,13,2
3,0,6,23,37,24,8,1
3,0,4,18,32,29,15,2
1,0,1,11,33,25,22,7
3,0,2,17,33,28,16,4
3,0,4,17,30,27,17,5
3,0,3,19,39,29,9,1
2,1,6,28,38,21,6,1
3,0,3,22,43,25,7,1
3,0,4,23,36,26,10,1
2,1,22,32,26,14,5,1
1,1,7,19,27,24,17,5
2,0,7,33,37,17,5,0
1,0,2,13,32,32,17,3
3,0,2,21,41,26,9,1
2,1,8,29,36,20,6,1
2,0,6,29,34,21,8,1
3,0,2,16,33,29,16,4
1,0,2,11,24,31,25,8
2,1,6,32,38,18,5,0
2,0,4,29,40,21,6,1
1,0,5,12,20,32,26,5
3,0,2,18,41,28,9,1
2,1,12,32,34,16,5,1
1,0,1,9,27,31,25,7
3,0,6,25,36,23,8,1
3,0,1,16,47,29,7,1
1,0,4,19,27,21,16,13
3,0,3,17,37,28,12,2
3,0,4,21,32,22,13,7
2,0,8,29,40,18,4,0
3,0,4,19,34,27,13,3
3,0,1,14,40,30,12,2
1,0,1,7,27,38,23,4
3,0,3,19,40,28,9,1
3,1,5,24,41,23,5,0
2,1,12,32,34,16,4,0
1,0,0,4,11,15,22,48
2,0,11,37,36,12,3,0
2,1,9,36,35,14,4,0
1,0,5,24,25,18,17,11
3,0,6,20,33,27,12,2
2,0,5,30,35,21,8,1
2,1,14,35,29,15,5,1
2,0,6,30,39,19,5,0
2,1,14,29,28,16,8,3
2,0,10,25,34,22,8,1
3,0,5,23,38,24,7,1
3,0,2,18,38,28,11,2
3,0,3,21,38,26,9,1
3,0,4,23,36,24,11,2
2,0,8,31,35,20,6,1
3,0,4,16,34,31,12,1
2,0,6,28,40,20,5,1
2,1,10,30,33,18,8,2
3,0,3,17,35,28,13,3
2,0,9,30,35,19,6,1
2,1,10,38,34,13,3,0
1,0,2,11,23,29,24,11
3,0,2,15,35,31,14,2
1,0,2,13,32,32,17,4
1,0,3,12,29,33,20,3
2,0,4,28,38,21,8,1
1,0,2,13,25,28,21,11
3,0,5,23,35,25,11,2
3,0,3,23,44,24,6,0
1,0,7,18,20,15,16,23
2,1,8,29,36,19,6,1
2,1,12,34,32,16,5,1
3,0,5,24,38,23,8,1
3,0,3,23,39,24,9,2
2,0,5,29,40,20,5,0
3,0,4,18,30,28,17,3
2,0,7,32,36,19,6,1
1,0,1,4,14,27,37,18
2,0,7,27,35,22,8,1
3,0,2,13,35,32,15,3
2,0,6,28,37,21,7,1
3,0,4,22,35,24,12,3
2,0,7,28,36,21,7,1
3,0,3,15,32,32,16,2
1,0,2,11,29,35,19,3
3,0,3,26,41,23,7,1
3,0,1,14,37,33,14,2
2,0,6,30,39,20,6,1
2,1,18,31,30,15,4,1
2,0,5,34,43,15,3,0
2,5,14,31,29,15,4,1
2,2,19,30,27,15,6,2
2,0,6,26,36,23,7,1
3,0,4,24,37,24,9,1
2,1,16,38,31,11,3,1
2,1,11,31,33,18,5,1
3,0,5,25,38,23,8,1
3,0,4,22,38,25,9,1
2,0,8,25,30,21,13,3
2,1,6,26,36,21,8,1
3,0,5,21,31,24,15,4
1,0,5,16,23,24,22,10
2,0,14,35,33,14,4,0
3,0,2,23,49,20,5,1
2,0,7,26,35,22,9,1
1,1,6,17,27,27,18,5
3,0,5,19,33,27,13,3
2,1,10,26,32,21,9,1
2,1,12,32,30,18,6,1
2,5,13,25,27,19,10,2
2,0,8,28,40,18,5,1
2,0,6,28,39,19,6,1
2,0,10,38,35,13,3,0
3,0,3,19,35,29,13,2
3,0,2,11,35,36,14,2
2,0,6,30,33,19,9,2
2,0,4,35,36,17,6,1
2,2,17,32,29,15,5,1
1,0,2,10,25,36,23,4
3,0,6,22,33,24,12,3
2,0,6,29,34,21,8,2
3,0,3,19,33,26,14,3
2,0,10,36,35,14,3,0
3,0,3,18,43,27,8,1
2,0,5,28,38,22,7,1
2,0,6,31,38,19,5,0
3,0,3,20,39,27,10,1
2,0,7,27,35,22,8,1
2,0,7,39,38,13,3,0
2,0,8,28,30,20,11,3
2,6,14,33,27,13,5,1
2,1,10,47,32,9,2,0
2,0,5,32,40,17,4,0
3,0,1,13,34,34,15,2
2,0,7,26,35,20,10,3
2,2,11,34,32,15,6,1
3,1,5,20,35,28,10,1
1,0,2,8,16,26,33,14
3,0,2,17,35,29,14,3
3,0,3,21,40,25,9,1
3,0,2,16,38,30,12,2
3,0,4,21,38,26,9,1
3,0,2,17,37,29,12,2
