old,ori,new,up,low,total,type,date,total1,type1,date1,total2,type2,date2,total3,type3,date3,,compare,type0,date0
252886,248363,249239.7901,342842.096,189519.6567,252886,old,2022/2/26,342842.096,up,2022/2/26,342842.096,up,2022/2/26,249239.7901,new,2022/2/26,,249239.7901,new,2022/2/26
250437,250413,245988.3292,337583.4426,187368.9687,250437,old,2022/2/27,337583.4426,up,2022/2/27,337583.4426,up,2022/2/27,245988.3292,new,2022/2/27,,245988.3292,new,2022/2/27
249475,251094,244057.7966,334469.5491,186089.2995,249475,old,2022/2/28,334469.5491,up,2022/2/28,334469.5491,up,2022/2/28,244057.7966,new,2022/2/28,,244057.7966,new,2022/2/28
243772,240137,239270.2297,326776.3756,182907.1976,243772,old,2022/3/1,326776.3756,up,2022/3/1,326776.3756,up,2022/3/1,239270.2297,new,2022/3/1,,239270.2297,new,2022/3/1
248811,257304,241452.569,330278.0756,184359.1486,248811,old,2022/3/2,330278.0756,up,2022/3/2,330278.0756,up,2022/3/2,241452.569,new,2022/3/2,,241452.569,new,2022/3/2
243373,240018,237530.7354,323990.8512,181747.9551,243373,old,2022/3/3,323990.8512,up,2022/3/3,323990.8512,up,2022/3/3,237530.7354,new,2022/3/3,,237530.7354,new,2022/3/3
222614,203730,222406.0118,299998.1413,171597.7845,222614,old,2022/3/4,299998.1413,up,2022/3/4,299998.1413,up,2022/3/4,222406.0118,new,2022/3/4,,222406.0118,new,2022/3/4
224881,229895,221723.4081,298924.8726,171136.6515,224881,old,2022/3/5,298924.8726,up,2022/3/5,298924.8726,up,2022/3/5,221723.4081,new,2022/3/5,,221723.4081,new,2022/3/5
220761,218595,217666.6227,292563.4366,168390.5479,220761,old,2022/3/6,292563.4366,up,2022/3/6,292563.4366,up,2022/3/6,217666.6227,new,2022/3/6,,217666.6227,new,2022/3/6
218619,218595,215007.3617,288409.562,166585.3403,218619,old,2022/3/7,288409.562,up,2022/3/7,288409.562,up,2022/3/7,215007.3617,new,2022/3/7,,215007.3617,new,2022/3/7
212194,207473,209630.7973,280049.2258,162922.6287,212194,old,2022/3/8,280049.2258,up,2022/3/8,280049.2258,up,2022/3/8,209630.7973,new,2022/3/8,,209630.7973,new,2022/3/8
206163,201799,204261.6023,271752.2954,159247.5962,206163,old,2022/3/9,271752.2954,up,2022/3/9,271752.2954,up,2022/3/9,204261.6023,new,2022/3/9,,204261.6023,new,2022/3/9
206393,208884,203048.1785,269884.3999,158414.642,206393,old,2022/3/10,269884.3999,up,2022/3/10,269884.3999,up,2022/3/10,203048.1785,new,2022/3/10,,203048.1785,new,2022/3/10
214506,226349,207490.3127,276735.357,161459.6555,214506,old,2022/3/11,276735.357,up,2022/3/11,276735.357,up,2022/3/11,207490.3127,new,2022/3/11,,207490.3127,new,2022/3/11
202545,192049,199560.9754,264531.2943,156015.8907,202545,old,2022/3/12,264531.2943,up,2022/3/12,264531.2943,up,2022/3/12,199560.9754,new,2022/3/12,,199560.9754,new,2022/3/12
190299,179436,190117.8771,250145.5077,149481.8181,190299,old,2022/3/13,250145.5077,up,2022/3/13,250145.5077,up,2022/3/13,190117.8771,new,2022/3/13,,190117.8771,new,2022/3/13
187016,185406,186165.7875,244173.1035,146730.4059,187016,old,2022/3/14,244173.1035,up,2022/3/14,244173.1035,up,2022/3/14,186165.7875,new,2022/3/14,,186165.7875,new,2022/3/14
193359,202855,188984.155,248429.3055,148693.6118,193359,old,2022/3/15,248429.3055,up,2022/3/15,248429.3055,up,2022/3/15,188984.155,new,2022/3/15,,188984.155,new,2022/3/15
203541,217856,195250.5554,257944.5421,153040.3426,203541,old,2022/3/16,257944.5421,up,2022/3/16,257944.5421,up,2022/3/16,195250.5554,new,2022/3/16,,195250.5554,new,2022/3/16
185498,169071,183662.5934,240405.0632,144982.3339,185498,old,2022/3/17,240405.0632,up,2022/3/17,240405.0632,up,2022/3/17,183662.5934,new,2022/3/17,,183662.5934,new,2022/3/17
181869,179830,180122.5496,235095.9074,142503.229,181869,old,2022/3/18,235095.9074,up,2022/3/18,235095.9074,up,2022/3/18,180122.5496,new,2022/3/18,,180122.5496,new,2022/3/18
168442,156311,169645.5719,219518.7886,135116.6505,168442,old,2022/3/19,219518.7886,up,2022/3/19,219518.7886,up,2022/3/19,169645.5719,new,2022/3/19,,169645.5719,new,2022/3/19
161119,154987,162657.9277,209243.2135,130147.8098,161119,old,2022/3/20,209243.2135,up,2022/3/20,209243.2135,up,2022/3/20,162657.9277,new,2022/3/20,,162657.9277,new,2022/3/20
166074,173636,164183.6076,211478.9717,131235.6613,166074,old,2022/3/21,211478.9717,up,2022/3/21,211478.9717,up,2022/3/21,164183.6076,new,2022/3/21,,164183.6076,new,2022/3/21
162423,160161,160933.8945,206722.1638,128916.5685,162423,old,2022/3/22,206722.1638,up,2022/3/22,206722.1638,up,2022/3/22,160933.8945,new,2022/3/22,,160933.8945,new,2022/3/22
158922,156785,157699.2229,202006.9167,126600.5648,158922,old,2022/3/23,202006.9167,up,2022/3/23,202006.9167,up,2022/3/23,157699.2229,new,2022/3/23,,157699.2229,new,2022/3/23
162810,169066,159426.4999,204522.2861,127838.179,162810,old,2022/3/24,204522.2861,up,2022/3/24,204522.2861,up,2022/3/24,159426.4999,new,2022/3/24,,159426.4999,new,2022/3/24
155924,150197,154502.155,197366.0538,124303.8865,155924,old,2022/3/25,197366.0538,up,2022/3/25,197366.0538,up,2022/3/25,154502.155,new,2022/3/25,,154502.155,new,2022/3/25
152081,149507,151095.9386,192443.0712,121848.6899,152081,old,2022/3/26,192443.0712,up,2022/3/26,192443.0712,up,2022/3/26,151095.9386,new,2022/3/26,,151095.9386,new,2022/3/26
157467,165468,153826.8803,196388.3078,123817.8304,157467,old,2022/3/27,196388.3078,up,2022/3/27,196388.3078,up,2022/3/27,153826.8803,new,2022/3/27,,153826.8803,new,2022/3/27
164106,173696,158109.3012,202603.5878,126894.5481,164106,old,2022/3/28,202603.5878,up,2022/3/28,202603.5878,up,2022/3/28,158109.3012,new,2022/3/28,,158109.3012,new,2022/3/28
156021,149070,153272.1966,195585.9191,123418.3705,156021,old,2022/3/29,195585.9191,up,2022/3/29,195585.9191,up,2022/3/29,153272.1966,new,2022/3/29,,153272.1966,new,2022/3/29
156222,158139,153078.8778,195306.2702,123279.0785,156222,old,2022/3/30,195306.2702,up,2022/3/30,195306.2702,up,2022/3/30,153078.8778,new,2022/3/30,,153078.8778,new,2022/3/30
145173,135219,145193.2953,183964.3838,117573.1194,145173,old,2022/3/31,183964.3838,up,2022/3/31,183964.3838,up,2022/3/31,145193.2953,new,2022/3/31,,145193.2953,new,2022/3/31
144189,144648,143410.8236,181417.0828,116276.65,144189,old,2022/4/1,181417.0828,up,2022/4/1,181417.0828,up,2022/4/1,143410.8236,new,2022/4/1,,143410.8236,new,2022/4/1
148482,155079,145461.8013,184348.5254,117768.1465,148482,old,2022/4/2,184348.5254,up,2022/4/2,184348.5254,up,2022/4/2,145461.8013,new,2022/4/2,,145461.8013,new,2022/4/2
135939,124532,136534.2654,171647.9573,111251.6622,135939,old,2022/4/3,171647.9573,up,2022/4/3,171647.9573,up,2022/4/3,136534.2654,new,2022/4/3,,136534.2654,new,2022/4/3
132254,129651,132783.3659,166358.1608,108494.6314,132254,old,2022/4/4,166358.1608,up,2022/4/4,166358.1608,up,2022/4/4,132783.3659,new,2022/4/4,,132783.3659,new,2022/4/4
126340,121356,127508.4478,158966.0325,104597.6924,126340,old,2022/4/5,158966.0325,up,2022/4/5,158966.0325,up,2022/4/5,127508.4478,new,2022/4/5,,127508.4478,new,2022/4/5
121635,117856,122935.4204,152602.162,101200.1223,121635,old,2022/4/6,152602.162,up,2022/4/6,152602.162,up,2022/4/6,122935.4204,new,2022/4/6,,122935.4204,new,2022/4/6
119180,117761,119972.8035,148501.7078,98989.31611,119180,old,2022/4/7,148501.7078,up,2022/4/7,148501.7078,up,2022/4/7,119972.8035,new,2022/4/7,,119972.8035,new,2022/4/7
128454,141158,125077.6883,155578.0953,102793.9812,128454,old,2022/4/8,155578.0953,up,2022/4/8,155578.0953,up,2022/4/8,125077.6883,new,2022/4/8,,125077.6883,new,2022/4/8
130479,134210,126649.0681,157766.8562,103960.5401,130479,old,2022/4/9,157766.8562,up,2022/4/9,157766.8562,up,2022/4/9,126649.0681,new,2022/4/9,,126649.0681,new,2022/4/9
127806,126241,125210.1571,155762.4921,102892.4084,127806,old,2022/4/10,155762.4921,up,2022/4/10,155762.4921,up,2022/4/10,125210.1571,new,2022/4/10,,125210.1571,new,2022/4/10
118362,109828,118605.116,146614.6392,97966.08362,118362,old,2022/4/11,146614.6392,up,2022/4/11,146614.6392,up,2022/4/11,118605.116,new,2022/4/11,,118605.116,new,2022/4/11
116123,114907,116203.8534,143310.7719,96165.49895,116123,old,2022/4/12,143310.7719,up,2022/4/12,143310.7719,up,2022/4/12,116203.8534,new,2022/4/12,,116203.8534,new,2022/4/12
118837,123255,117274.2331,144782.1141,96968.78241,118837,old,2022/4/13,144782.1141,up,2022/4/13,144782.1141,up,2022/4/13,117274.2331,new,2022/4/13,,117274.2331,new,2022/4/13
115668,113448,114849.6994,141452.7744,95147.84374,115668,old,2022/4/14,141452.7744,up,2022/4/14,141452.7744,up,2022/4/14,114849.6994,new,2022/4/14,,114849.6994,new,2022/4/14
121612,129991,118326.4941,146230.6875,97757.4288,121612,old,2022/4/15,146230.6875,up,2022/4/15,146230.6875,up,2022/4/15,118326.4941,new,2022/4/15,,118326.4941,new,2022/4/15
114384,107987,113638.5537,139794.1624,94236.21116,114384,old,2022/4/16,139794.1624,up,2022/4/16,139794.1624,up,2022/4/16,113638.5537,new,2022/4/16,,113638.5537,new,2022/4/16
110114,106681,110200.4162,135102.1533,91640.93449,110114,old,2022/4/17,135102.1533,up,2022/4/17,135102.1533,up,2022/4/17,110200.4162,new,2022/4/17,,110200.4162,new,2022/4/17
110617,112383,109842.2024,134614.6991,91369.87048,110617,old,2022/4/18,134614.6991,up,2022/4/18,134614.6991,up,2022/4/18,109842.2024,new,2022/4/18,,109842.2024,new,2022/4/18
109244,108899,108481.1403,132765.05,90338.99263,109244,old,2022/4/19,132765.05,up,2022/4/19,132765.05,up,2022/4/19,108481.1403,new,2022/4/19,,108481.1403,new,2022/4/19
105224,102007,105280.9549,128431.0736,87908.12498,105224,old,2022/4/20,128431.0736,up,2022/4/20,128431.0736,up,2022/4/20,105280.9549,new,2022/4/20,,105280.9549,new,2022/4/20
101206,97955,101827.9707,123778.6582,85274.07955,101206,old,2022/4/21,123778.6582,up,2022/4/21,123778.6582,up,2022/4/21,101827.9707,new,2022/4/21,,101827.9707,new,2022/4/21
108807,119232,106090.6577,129525.5782,88524.07498,108807,old,2022/4/22,129525.5782,up,2022/4/22,129525.5782,up,2022/4/22,106090.6577,new,2022/4/22,,106090.6577,new,2022/4/22
101811,95562,101491.4832,123326.6322,85016.80157,101811,old,2022/4/23,123326.6322,up,2022/4/23,123326.6322,up,2022/4/23,101491.4832,new,2022/4/23,,101491.4832,new,2022/4/23
99220,97452,99218.27311,120279.1397,83275.5297,99220,old,2022/4/24,120279.1397,up,2022/4/24,120279.1397,up,2022/4/24,99218.27311,new,2022/4/24,,99218.27311,new,2022/4/24
95031,91548,95722.25346,115613.7911,80587.48189,95031,old,2022/4/25,115613.7911,up,2022/4/25,115613.7911,up,2022/4/25,95722.25346,new,2022/4/25,,95722.25346,new,2022/4/25
98287,103153,97187.4107,117565.8549,81715.55169,98287,old,2022/4/26,117565.8549,up,2022/4/26,117565.8549,up,2022/4/26,97187.4107,new,2022/4/26,,97187.4107,new,2022/4/26
98108,98967,96883.76378,117160.8752,81481.91812,98108,old,2022/4/27,117160.8752,up,2022/4/27,117160.8752,up,2022/4/27,96883.76378,new,2022/4/27,,96883.76378,new,2022/4/27
93202,88974,93332.01201,112439.0938,78742.40226,93202,old,2022/4/28,112439.0938,up,2022/4/28,112439.0938,up,2022/4/28,93332.01201,new,2022/4/28,,93332.01201,new,2022/4/28
85237,77991,87062.77604,104171.1047,73874.33151,85237,old,2022/4/30,104171.1047,up,2022/4/30,104171.1047,up,2022/4/30,87062.77604,new,2022/4/30,,87062.77604,new,2022/4/30
81152,77658,83085.83299,98971.02974,70764.00828,81152,old,2022/5/1,98971.02974,up,2022/5/1,98971.02974,up,2022/5/1,83085.83299,new,2022/5/1,,83085.83299,new,2022/5/1
87263,95643,86187.57963,103023.7251,73191.35677,87263,old,2022/5/2,103023.7251,up,2022/5/2,103023.7251,up,2022/5/2,86187.57963,new,2022/5/2,,86187.57963,new,2022/5/2
110782,85817,85336.25952,101909.2692,72526.18047,110782,old,2022/5/3,101909.2692,up,2022/5/3,101909.2692,up,2022/5/3,85336.25952,new,2022/5/3,,85336.25952,new,2022/5/3
84583,107750,91058.98901,109431.5168,76982.2538,84583,old,2022/5/4,109431.5168,up,2022/5/4,109431.5168,up,2022/5/4,91058.98901,new,2022/5/4,,91058.98901,new,2022/5/4
84808,85979,88566.89022,106146.9286,75046.11015,84808,old,2022/5/5,106146.9286,up,2022/5/5,106146.9286,up,2022/5/5,88566.89022,new,2022/5/5,,88566.89022,new,2022/5/5
80260,76292,83510.92439,99525.18899,71097.31132,80260,old,2022/5/6,99525.18899,up,2022/5/6,99525.18899,up,2022/5/6,83510.92439,new,2022/5/6,,83510.92439,new,2022/5/6
77069,74458,79698.7592,94569.98167,68100.93799,77069,old,2022/5/7,94569.98167,up,2022/5/7,94569.98167,up,2022/5/7,79698.7592,new,2022/5/7,,79698.7592,new,2022/5/7
74503,72518,76602.30647,90569.29028,65654.71956,74503,old,2022/5/8,90569.29028,up,2022/5/8,90569.29028,up,2022/5/8,76602.30647,new,2022/5/8,,76602.30647,new,2022/5/8
80597,88932,79700.40925,94572.11938,68102.2179,80597,old,2022/5/9,94572.11938,up,2022/5/9,94572.11938,up,2022/5/9,79700.40925,new,2022/5/9,,79700.40925,new,2022/5/9
77217,74412,77271.80093,91432.42007,66184.56252,77217,old,2022/5/10,91432.42007,up,2022/5/10,91432.42007,up,2022/5/10,77271.80093,new,2022/5/10,,77271.80093,new,2022/5/10
77866,79446,77349.06327,91532.0982,66245.69634,77866,old,2022/5/11,91532.0982,up,2022/5/11,91532.0982,up,2022/5/11,77349.06327,new,2022/5/11,,77349.06327,new,2022/5/11
76432,75673,76177.59386,90022.21876,65318.29032,76432,old,2022/5/12,90022.21876,up,2022/5/12,90022.21876,up,2022/5/12,76177.59386,new,2022/5/12,,76177.59386,new,2022/5/12
76584,77585,76024.51493,89825.18217,65197.00486,76584,old,2022/5/13,89825.18217,up,2022/5/13,89825.18217,up,2022/5/13,76024.51493,new,2022/5/13,,76024.51493,new,2022/5/13
74597,73225,74492.34085,87855.68246,63981.30794,74597,old,2022/5/14,87855.68246,up,2022/5/14,87855.68246,up,2022/5/14,74492.34085,new,2022/5/14,,74492.34085,new,2022/5/14
70600,67115,71378.504,83869.78517,61501.83629,70600,old,2022/5/15,83869.78517,up,2022/5/15,83869.78517,up,2022/5/15,71378.504,new,2022/5/15,,71378.504,new,2022/5/15
69174,68349,69821.7063,81885.43963,60257.68721,69174,old,2022/5/16,81885.43963,up,2022/5/16,81885.43963,up,2022/5/16,69821.7063,new,2022/5/16,,69821.7063,new,2022/5/16
69547,70722,69581.05182,81579.20573,60065.07363,69547,old,2022/5/17,81579.20573,up,2022/5/17,81579.20573,up,2022/5/17,69581.05182,new,2022/5/17,,69581.05182,new,2022/5/17
71224,73933,70424.48471,82653.07557,60739.77177,71224,old,2022/5/18,82653.07557,up,2022/5/18,82653.07557,up,2022/5/18,70424.48471,new,2022/5/18,,70424.48471,new,2022/5/18
70720,70920,70046.51483,82171.66001,60437.53605,70720,old,2022/5/19,82171.66001,up,2022/5/19,82171.66001,up,2022/5/19,70046.51483,new,2022/5/19,,70046.51483,new,2022/5/19
69967,69884,69459.39772,81424.45224,59967.68562,69967,old,2022/5/20,81424.45224,up,2022/5/20,81424.45224,up,2022/5/20,69459.39772,new,2022/5/20,,69459.39772,new,2022/5/20
68111,66814,68054.32872,79639.62751,58841.51787,68111,old,2022/5/21,79639.62751,up,2022/5/21,79639.62751,up,2022/5/21,68054.32872,new,2022/5/21,,68054.32872,new,2022/5/21
67670,67909,67495.56526,78931.14355,58392.98058,67670,old,2022/5/22,78931.14355,up,2022/5/22,78931.14355,up,2022/5/22,67495.56526,new,2022/5/22,,67495.56526,new,2022/5/22
66741,66431,66641.3017,77849.44146,57706.43075,66741,old,2022/5/23,77849.44146,up,2022/5/23,77849.44146,up,2022/5/23,66641.3017,new,2022/5/23,,66641.3017,new,2022/5/23
64800,63380,65057.44759,75848.44637,56431.00911,64800,old,2022/5/24,75848.44637,up,2022/5/24,75848.44637,up,2022/5/24,65057.44759,new,2022/5/24,,65057.44759,new,2022/5/24
63486,62723,63805.80727,74271.44763,55420.75026,63486,old,2022/5/25,74271.44763,up,2022/5/25,74271.44763,up,2022/5/25,63805.80727,new,2022/5/25,,63805.80727,new,2022/5/25
63023,63188,63139.76869,73433.81985,54882.31439,63023,old,2022/5/26,73433.81985,up,2022/5/26,73433.81985,up,2022/5/26,63139.76869,new,2022/5/26,,63139.76869,new,2022/5/26
63089,63846,62911.66309,73147.19575,54697.7732,63089,old,2022/5/27,73147.19575,up,2022/5/27,73147.19575,up,2022/5/27,62911.66309,new,2022/5/27,,62911.66309,new,2022/5/27
61330,60069,61510.36494,71389.18897,53562.5534,61330,old,2022/5/28,71389.18897,up,2022/5/28,71389.18897,up,2022/5/28,61510.36494,new,2022/5/28,,61510.36494,new,2022/5/28
58864,56839,59489.0893,68861.86961,51920.3471,58864,old,2022/5/29,68861.86961,up,2022/5/29,68861.86961,up,2022/5/29,59489.0893,new,2022/5/29,,59489.0893,new,2022/5/29
59546,60969,59547.54402,68934.81743,51967.91925,59546,old,2022/5/30,68934.81743,up,2022/5/30,68934.81743,up,2022/5/30,59547.54402,new,2022/5/30,,59547.54402,new,2022/5/30
